epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,778.102,0.78213,1.40335,0.75804,1.15084,0.95388,0.85185,0.94562,0.767,0.96425,0.86111,0.95013,0.77439,0.65642,1.17703,0.45222,1.07074,0.0013466,0.0013466,0.0013466
68,789.556,0.80782,1.44636,0.77061,1.16279,0.90976,0.87963,0.93068,0.74785,0.90535,0.88889,0.93669,0.74643,0.61867,1.27844,0.50173,1.06294,0.0013367,0.0013367,0.0013367
69,800.873,0.77673,1.40578,0.75086,1.14863,0.86435,0.885,0.91846,0.73892,0.86873,0.88889,0.9317,0.74127,0.65622,1.2062,0.50987,1.08142,0.0013268,0.0013268,0.0013268
70,812.291,0.78069,1.40131,0.75072,1.13802,0.90902,0.87037,0.91821,0.74394,0.91869,0.87963,0.92675,0.74569,0.73852,1.1963,0.54815,1.11335,0.0013169,0.0013169,0.0013169
71,823.647,0.80885,1.46269,0.77049,1.1556,0.87826,0.87037,0.91405,0.74611,0.8876,0.87963,0.922,0.73707,0.59766,1.29668,0.51872,1.05675,0.001307,0.001307,0.001307
72,835.191,0.79943,1.42132,0.78542,1.16346,0.89547,0.85185,0.92224,0.7563,0.9052,0.86111,0.93941,0.75165,0.59982,1.27773,0.51211,1.03233,0.0012971,0.0012971,0.0012971
73,846.709,0.77807,1.39072,0.75949,1.14241,0.92258,0.84259,0.92558,0.76023,0.92149,0.84259,0.92824,0.76143,0.62205,1.16094,0.5323,1.05807,0.0012872,0.0012872,0.0012872
74,858.233,0.75863,1.40627,0.72643,1.13375,0.92912,0.87963,0.9296,0.74939,0.94887,0.89815,0.93921,0.74951,0.66581,1.14452,0.49352,1.06347,0.0012773,0.0012773,0.0012773
75,869.708,0.78717,1.40716,0.73392,1.15043,0.91107,0.88889,0.92365,0.75187,0.9209,0.89815,0.94618,0.75226,0.63789,1.26228,0.46326,1.07473,0.0012674,0.0012674,0.0012674
76,881.211,0.78519,1.43854,0.76567,1.14217,0.91901,0.87037,0.93523,0.76973,0.94026,0.87441,0.93331,0.76023,0.60846,1.19591,0.48044,1.0326,0.0012575,0.0012575,0.0012575
77,892.667,0.78588,1.36201,0.74682,1.15889,0.90915,0.86111,0.92796,0.76662,0.91892,0.87037,0.93,0.77043,0.62068,1.15353,0.49656,1.051,0.0012476,0.0012476,0.0012476
78,904.108,0.76275,1.3678,0.71327,1.13334,0.90838,0.82622,0.90372,0.72518,0.91852,0.83502,0.92667,0.73002,0.68102,1.2663,0.5492,1.08585,0.0012377,0.0012377,0.0012377
79,915.636,0.76013,1.35843,0.73335,1.1379,0.95772,0.83902,0.91543,0.73712,0.96829,0.84828,0.93663,0.73153,0.6557,1.22213,0.52342,1.05884,0.0012278,0.0012278,0.0012278
80,927.034,0.73681,1.27714,0.69918,1.13115,0.81631,0.88889,0.89507,0.7565,0.82176,0.89648,0.90842,0.74601,0.59075,1.16837,0.56141,1.02337,0.0012179,0.0012179,0.0012179
81,938.396,0.78358,1.43305,0.73041,1.14779,0.88721,0.87398,0.92051,0.76773,0.94119,0.83333,0.93908,0.75497,0.5868,1.11417,0.46136,1.00777,0.001208,0.001208,0.001208
82,949.919,0.77528,1.41279,0.73617,1.14535,0.90997,0.86111,0.93839,0.76747,0.95825,0.85008,0.95048,0.74752,0.62661,1.28576,0.47498,1.06008,0.0011981,0.0011981,0.0011981
83,961.291,0.75901,1.37693,0.72215,1.13794,0.88632,0.87963,0.92104,0.75662,0.89583,0.88889,0.93101,0.7477,0.62759,1.1787,0.48741,1.05011,0.0011882,0.0011882,0.0011882
84,972.849,0.773,1.35771,0.72304,1.1326,0.87876,0.86111,0.89948,0.73686,0.88994,0.87037,0.92081,0.74354,0.65251,1.22274,0.5489,1.09966,0.0011783,0.0011783,0.0011783
85,984.332,0.74211,1.35424,0.70433,1.11349,0.9386,0.87037,0.91851,0.74739,0.94657,0.87037,0.92969,0.7478,0.62541,1.27192,0.47436,1.05379,0.0011684,0.0011684,0.0011684
86,995.822,0.7802,1.38618,0.71448,1.15082,0.92123,0.86638,0.91558,0.76318,0.93104,0.87513,0.93904,0.76181,0.60427,1.22927,0.48738,1.03959,0.0011585,0.0011585,0.0011585
87,1007.33,0.73795,1.33531,0.68437,1.11994,0.86803,0.87037,0.90679,0.75604,0.87803,0.87963,0.92011,0.74092,0.59184,1.23393,0.55422,1.03936,0.0011486,0.0011486,0.0011486
88,1018.81,0.74881,1.34045,0.69885,1.11509,0.90253,0.91667,0.93574,0.76605,0.90253,0.91667,0.94062,0.75785,0.61698,1.16108,0.46341,1.04856,0.0011387,0.0011387,0.0011387
89,1030.48,0.74197,1.3053,0.69802,1.12298,0.8812,0.87963,0.92615,0.76786,0.8812,0.87963,0.92793,0.76264,0.60553,1.22559,0.52015,1.03226,0.0011288,0.0011288,0.0011288
90,1041.97,0.74766,1.33537,0.70088,1.13587,0.92754,0.87037,0.9329,0.78443,0.93756,0.87963,0.94232,0.77452,0.59349,1.12597,0.49268,1.03011,0.0011189,0.0011189,0.0011189
91,1053.44,0.76819,1.35167,0.68921,1.13304,0.92823,0.90741,0.9434,0.79149,0.96273,0.88889,0.95024,0.77669,0.59349,1.14478,0.44472,1.03658,0.001109,0.001109,0.001109
92,1064.82,0.75859,1.38267,0.71855,1.13664,0.91909,0.90741,0.9544,0.78276,0.92847,0.91667,0.95865,0.77653,0.62607,1.19449,0.45796,1.05441,0.0010991,0.0010991,0.0010991
93,1076.22,0.75618,1.32938,0.67709,1.1301,0.94982,0.86111,0.93497,0.78499,0.96003,0.87037,0.9418,0.77954,0.59613,1.24826,0.48068,1.02807,0.0010892,0.0010892,0.0010892
94,1087.83,0.74741,1.32702,0.69374,1.11944,0.85168,0.87037,0.92102,0.75768,0.84262,0.86111,0.89574,0.72156,0.61312,1.27765,0.52539,1.03428,0.0010793,0.0010793,0.0010793
95,1099.23,0.74298,1.35003,0.68736,1.12219,0.87286,0.88996,0.92209,0.76159,0.8639,0.88158,0.91054,0.73589,0.64307,1.29433,0.51114,1.06193,0.0010694,0.0010694,0.0010694
96,1110.7,0.75406,1.33346,0.68294,1.1321,0.89506,0.89815,0.91784,0.75531,0.89506,0.89815,0.92524,0.76192,0.64323,1.20361,0.51059,1.05461,0.0010595,0.0010595,0.0010595
97,1122.2,0.72387,1.28007,0.67289,1.10405,0.95,0.84259,0.93866,0.79213,0.93935,0.83333,0.92552,0.77767,0.58448,1.18122,0.46484,1.02059,0.0010496,0.0010496,0.0010496
98,1133.54,0.72869,1.33681,0.67506,1.11941,0.93064,0.86971,0.927,0.76943,0.93064,0.86971,0.93159,0.76549,0.59733,1.20129,0.48903,1.01993,0.0010397,0.0010397,0.0010397
99,1144.99,0.72541,1.28083,0.68333,1.10683,0.88058,0.88758,0.91998,0.75332,0.93992,0.86914,0.92284,0.74855,0.64204,1.37294,0.49867,1.05133,0.0010298,0.0010298,0.0010298
100,1156.54,0.71787,1.29068,0.67159,1.10982,0.94862,0.85479,0.93448,0.77254,0.9589,0.86405,0.93223,0.7713,0.61313,1.1909,0.44528,1.05208,0.0010199,0.0010199,0.0010199
101,1168.06,0.73683,1.33273,0.67377,1.118,0.8313,0.91667,0.91444,0.75049,0.90563,0.88862,0.92896,0.75106,0.61766,1.27394,0.49387,1.05003,0.00101,0.00101,0.00101
102,1179.57,0.72402,1.25911,0.66059,1.09771,0.90764,0.86111,0.92756,0.76264,0.91259,0.87007,0.93101,0.75935,0.62043,1.29917,0.47367,1.04869,0.0010001,0.0010001,0.0010001
103,1191.02,0.73906,1.3048,0.66792,1.1154,0.874,0.89921,0.93029,0.77409,0.88295,0.90803,0.94303,0.77561,0.61103,1.19735,0.47847,1.02098,0.0009902,0.0009902,0.0009902
104,1202.49,0.73679,1.29742,0.64532,1.12038,0.91895,0.83333,0.9206,0.77742,0.92916,0.84259,0.93282,0.77051,0.60091,1.26184,0.53921,1.02664,0.0009803,0.0009803,0.0009803
105,1213.97,0.73187,1.34359,0.68999,1.11572,0.88578,0.89815,0.92188,0.76219,0.91481,0.89492,0.93748,0.75434,0.61415,1.1948,0.48755,1.03822,0.0009704,0.0009704,0.0009704
106,1225.38,0.73495,1.35406,0.68173,1.11215,0.89411,0.87963,0.92927,0.7667,0.90352,0.88889,0.93976,0.75946,0.62425,1.22091,0.49218,1.05421,0.0009605,0.0009605,0.0009605
107,1236.81,0.73755,1.28503,0.66947,1.12362,0.86651,0.87037,0.89978,0.7275,0.90139,0.86111,0.90157,0.70787,0.67121,1.30066,0.61542,1.083,0.0009506,0.0009506,0.0009506
108,1248.32,0.72399,1.2434,0.67098,1.12117,0.8956,0.90741,0.93758,0.7665,0.92875,0.86111,0.92969,0.75666,0.61231,1.30256,0.44775,1.04607,0.0009407,0.0009407,0.0009407
109,1260.64,0.71421,1.3229,0.64932,1.10208,0.93065,0.86975,0.91403,0.77376,0.94055,0.87901,0.92893,0.76737,0.5851,1.24524,0.455,1.03739,0.0009308,0.0009308,0.0009308
110,1272.02,0.6963,1.24831,0.62639,1.08816,0.91358,0.85185,0.9314,0.76955,0.92372,0.86111,0.94287,0.77067,0.61238,1.14736,0.45479,1.05498,0.0009209,0.0009209,0.0009209
111,1283.15,0.73323,1.31242,0.65774,1.12341,0.88547,0.90741,0.94004,0.78106,0.88547,0.90741,0.93949,0.77966,0.60153,1.19077,0.44527,1.04406,0.000911,0.000911,0.000911
112,1294.44,0.70662,1.23895,0.65038,1.09767,0.90383,0.88889,0.93624,0.78068,0.91333,0.89815,0.93066,0.77043,0.5846,1.24815,0.4493,1.03782,0.0009011,0.0009011,0.0009011
113,1305.81,0.71342,1.3208,0.64536,1.09875,0.88043,0.90741,0.93504,0.77905,0.87145,0.89815,0.92202,0.76232,0.59844,1.14355,0.45136,1.03471,0.0008912,0.0008912,0.0008912
114,1317.22,0.69852,1.24386,0.62483,1.0974,0.92089,0.88889,0.93878,0.79602,0.93048,0.89815,0.94251,0.78076,0.57605,1.28002,0.4312,1.03192,0.0008813,0.0008813,0.0008813
115,1328.43,0.7191,1.29896,0.63284,1.10373,0.92152,0.88889,0.92698,0.76696,0.92152,0.88889,0.92727,0.76863,0.61734,1.33999,0.47506,1.04603,0.0008714,0.0008714,0.0008714
116,1339.79,0.72228,1.29345,0.66147,1.10726,0.92031,0.89815,0.94012,0.79139,0.91082,0.88889,0.9258,0.77623,0.57455,1.18872,0.45509,1.01429,0.0008615,0.0008615,0.0008615
117,1351.12,0.70891,1.25663,0.61915,1.10673,0.86659,0.90218,0.93329,0.76536,0.86659,0.90218,0.92174,0.74562,0.61044,1.1645,0.47495,1.03515,0.0008516,0.0008516,0.0008516
118,1362.4,0.69955,1.24537,0.61754,1.10301,0.95868,0.80556,0.92777,0.7672,0.90167,0.88889,0.94106,0.75572,0.61495,1.19427,0.47408,1.04338,0.0008417,0.0008417,0.0008417
119,1373.71,0.72601,1.286,0.63767,1.11834,0.86704,0.90571,0.9229,0.77536,0.92145,0.86893,0.92543,0.75547,0.57846,1.18643,0.48343,1.01329,0.0008318,0.0008318,0.0008318
120,1385.04,0.70962,1.27703,0.66293,1.0869,0.86677,0.90363,0.9192,0.76504,0.86677,0.90363,0.9192,0.75728,0.56916,1.16529,0.48113,1.00963,0.0008219,0.0008219,0.0008219
121,1396.42,0.68565,1.19185,0.60191,1.08688,0.93996,0.86968,0.93372,0.76373,0.92995,0.86042,0.92387,0.74496,0.59578,1.25879,0.48293,1.04798,0.000812,0.000812,0.000812
